Date,8-day pd,EVI,LSWI
9/14/2015,33,0.463,0.156
9/22/2015,34,0.404,0.126
9/30/2015,35,0.423,0.103
10/8/2015,36,0.299,-0.041
10/16/2015,37,0.322,-0.008
10/24/2015,38,0.265,-0.05
11/1/2015,39,0.214,-0.156
11/9/2015,40,0.209,-0.165
11/17/2015,41,0.174,-0.167
11/25/2015,42,0.183,-0.02
12/3/2015,43,0.372,0.064
12/11/2015,44,0.166,-0.199
12/19/2015,45,0.171,-0.171
12/27/2015,46,0.234,0.112
1/1/2016,1,0.219,-0.022
1/9/2016,2,0.152,-0.157
1/17/2016,3,0.184,-0.162
1/25/2016,4,0.211,-0.135
2/2/2016,5,0.219,-0.07
2/10/2016,6,0.168,-0.142
2/18/2016,7,,
2/26/2016,8,0.168,-0.168
3/5/2016,9,0.188,-0.138
3/13/2016,10,0.241,-0.093
3/21/2016,11,0.168,-0.212
3/29/2016,12,0.18,-0.185
4/6/2016,13,0.206,-0.123
4/14/2016,14,0.257,-0.086
4/22/2016,15,0.241,-0.14
4/30/2016,16,0.305,-0.024
5/8/2016,17,0.416,0.046
5/16/2016,18,0.292,0.001
5/24/2016,19,0.409,0.05
6/1/2016,20,0.406,0.027
6/9/2016,21,0.386,0.007
6/17/2016,22,0.392,0.023
6/25/2016,23,0.356,-0.03
7/3/2016,24,0.412,0.011
7/11/2016,25,0.525,0.147
7/19/2016,26,0.46,0.088
7/27/2016,27,0.49,0.123
8/4/2016,28,0.483,0.153
8/12/2016,29,0.391,0.011
8/20/2016,30,0.378,0.069
8/28/2016,31,0.48,0.097
9/5/2016,32,0.432,0.123
9/13/2016,33,0.391,0.032
9/21/2016,34,0.364,0.031
9/29/2016,35,0.333,-0.013
10/7/2016,36,0.292,-0.011
10/15/2016,37,0.294,-0.07
10/23/2016,38,0.287,-0.067
10/31/2016,39,0.234,-0.128
11/8/2016,40,0.206,-0.207
11/16/2016,41,0.191,-0.224
11/24/2016,42,0.178,-0.184
12/2/2016,43,0.215,-0.194
12/10/2016,44,0.215,-0.132
12/18/2016,45,0.153,-0.229
12/26/2016,46,0.16,-0.259
1/1/2017,1,0.221,-0.153
1/9/2017,2,0.216,-0.155
1/17/2017,3,0.158,-0.223
1/25/2017,4,0.15,-0.236
2/2/2017,5,0.19,-0.2
2/10/2017,6,0.207,-0.173
2/18/2017,7,0.163,-0.26
2/26/2017,8,0.157,-0.25
3/6/2017,9,0.164,-0.228
3/14/2017,10,0.17,-0.243
3/22/2017,11,0.191,-0.216
